Key ICT indicators for the ITU/BDT regions (totals and penetration rates);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Millions;;;;;;;;;;;;;;;;;;;;;Per 100 inhabitants ;;;;;;;;;;;;;;;;;;;;;;;
Fixed-telephone subscriptions/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
 Africa ; 10 ; 11 ; 11 ; 12 ; 13 ; 12 ; 12 ; 11 ; 10 ; 10 ; 10 ; 11 ; 11 ; 9 ; 8 ; 7 ; 7 ; 6 ; 7 ; 7 ;;1,5;1,5;1,5;1,5;1,6;1,5;1,4;1,3;1,1;1,1;1,1;1,1;1,1;0,9;0,7;0,7;0,6;0,6;0,5;0,6;;;;
 Americas ; 291 ; 284 ; 278 ; 287 ; 277 ; 274 ; 269 ; 266 ; 259 ; 252 ; 249 ; 245 ; 235 ; 227 ; 215 ; 208 ; 200 ; 193 ; 182 ; 174 ;;33,0;31,9;30,9;31,2;29,9;29,3;28,4;27,8;26,8;25,9;25,5;24,8;23,6;22,5;21,2;20,4;19,5;18,7;17,6;16,7;;;;
 Arab States ; 30 ; 31 ; 33 ; 35 ; 34 ; 35 ; 35 ; 35 ; 33 ; 30 ; 30 ; 32 ; 33 ; 35 ; 37 ; 39 ; 41 ; 42 ; 43 ; 45 ;;9,4;9,6;10,1;10,3;9,9;9,8;9,6;9,3;8,6;7,7;7,4;7,6;7,9;8,2;8,4;8,6;8,8;8,9;8,9;9,1;;;;
 Asia-Pacific ; 559 ; 577 ; 579 ; 567 ; 571 ; 553 ; 537 ; 528 ; 504 ; 476 ; 439 ; 412 ; 403 ; 391 ; 383 ; 371 ; 372 ; 372 ; 366 ; 369 ;;15,1;15,5;15,3;14,9;14,9;14,1;13,6;13,2;12,5;11,7;10,6;9,8;9,5;9,2;8,9;8,5;8,5;8,5;8,3;8,3;;;;
 CIS ; 52 ; 56 ; 58 ; 59 ; 60 ; 60 ; 59 ; 58 ; 56 ; 55 ; 51 ; 48 ; 47 ; 45 ; 45 ; 43 ; 41 ; 38 ; 37 ; 35 ;;22,7;24,6;25,4;25,6;25,8;25,7;25,5;24,7;23,9;23,0;21,5;20,1;19,8;18,7;18,4;17,3;16,5;15,5;14,7;14,1;;;;
 Europe ; 285 ; 286 ; 278 ; 275 ; 282 ; 278 ; 272 ; 265 ; 262 ; 257 ; 251 ; 246 ; 240 ; 233 ; 224 ; 221 ; 217 ; 211 ; 203 ; 198 ;;43,9;43,8;42,5;41,7;42,6;41,9;40,9;39,7;39,2;38,4;37,1;36,3;35,4;34,2;32,8;32,1;31,6;30,6;29,3;28,5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fixed-broadband subscriptions/Millions;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 ;2022 ;2023 ;2024 ;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;
