Region,Year,Indicator,Value_Millions,Penetration_Per_100_Inhabitants,Percentage,Value_Exabytes,Per_Subscription_GB,Value_Tbits,Per_User_kbits
Africa,2005,Fixed-telephone subscriptions,10.0,1.5,,,,,
Africa,2006,Fixed-telephone subscriptions,11.0,1.5,,,,,
Africa,2007,Fixed-telephone subscriptions,11.0,1.5,,,,,
Africa,2008,Fixed-telephone subscriptions,12.0,1.5,,,,,
Africa,2009,Fixed-telephone subscriptions,13.0,1.6,,,,,
Africa,2010,Fixed-telephone subscriptions,12.0,1.5,,,,,
Africa,2011,Fixed-telephone subscriptions,12.0,1.4,,,,,
Africa,2012,Fixed-telephone subscriptions,11.0,1.3,,,,,
Africa,2013,Fixed-telephone subscriptions,10.0,1.1,,,,,
Africa,2014,Fixed-telephone subscriptions,10.0,1.1,,,,,
Africa,2015,Fixed-telephone subscriptions,10.0,1.1,,,,,
Africa,2016,Fixed-telephone subscriptions,11.0,1.1,,,,,
Africa,2017,Fixed-telephone subscriptions,11.0,1.1,,,,,
Africa,2018,Fixed-telephone subscriptions,9.0,0.9,,,,,
Africa,2019,Fixed-telephone subscriptions,8.0,0.7,,,,,
Africa,2020,Fixed-telephone subscriptions,7.0,0.7,,,,,
Africa,2021,Fixed-telephone subscriptions,7.0,0.6,,,,,
Africa,2022,Fixed-telephone subscriptions,6.0,0.6,,,,,
Africa,2023,Fixed-telephone subscriptions,7.0,0.5,,,,,
Africa,2024,Fixed-telephone subscriptions,7.0,0.6,,,,,
Americas,2005,Fixed-telephone subscriptions,291.0,33.0,,,,,
Americas,2006,Fixed-telephone subscriptions,284.0,31.9,,,,,
Americas,2007,Fixed-telephone subscriptions,278.0,30.9,,,,,
Americas,2008,Fixed-telephone subscriptions,287.0,31.2,,,,,
Americas,2009,Fixed-telephone subscriptions,277.0,29.9,,,,,
Americas,2010,Fixed-telephone subscriptions,274.0,29.3,,,,,
Americas,2011,Fixed-telephone subscriptions,269.0,28.4,,,,,
Americas,2012,Fixed-telephone subscriptions,266.0,27.8,,,,,
Americas,2013,Fixed-telephone subscriptions,259.0,26.8,,,,,
Americas,2014,Fixed-telephone subscriptions,252.0,25.9,,,,,
Americas,2015,Fixed-telephone subscriptions,249.0,25.5,,,,,
Americas,2016,Fixed-telephone subscriptions,245.0,24.8,,,,,
Americas,2017,Fixed-telephone subscriptions,235.0,23.6,,,,,
Americas,2018,Fixed-telephone subscriptions,227.0,22.5,,,,,
Americas,2019,Fixed-telephone subscriptions,215.0,21.2,,,,,
Americas,2020,Fixed-telephone subscriptions,208.0,20.4,,,,,
Americas,2021,Fixed-telephone subscriptions,200.0,19.5,,,,,
Americas,2022,Fixed-telephone subscriptions,193.0,18.7,,,,,
Americas,2023,Fixed-telephone subscriptions,182.0,17.6,,,,,
Americas,2024,Fixed-telephone subscriptions,174.0,16.7,,,,,
